"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.81,0.61,3,0.002,3.184,0.9,0.9,0.9,0.9,0.9,0.9,117,109.489,0.936,0.498
"DRR","DRR","DRR",NA,NA,0.64,0.29,3,0.015,4.653,0.713,0.55,0.875,0.815,0.55,0.657,50,24.481,0.49,0.302
"HSLMDS [k=103] (rNLDR)","HSLMDS [k=103] (rNLDR)","HSLMDS (rNLDR)",103,NA,0.69,0.38,1,NA,497.506,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=103] [kQuality=100] (NLDR)","HSLMDS [k=103] [kQuality=100] (NLDR)","HSLMDS (NLDR)",103,NA,0.71,0.42,1,NA,46.228,0.512,0.75,0.275,0.508,0.75,0.606,123,115.093,0.936,0.475
"HSLMDS [k=103] [kQuality=101] (NLDR)","HSLMDS [k=103] [kQuality=101] (NLDR)","HSLMDS (NLDR)",103,NA,0.71,0.42,1,NA,46.249,0.512,0.75,0.275,0.508,0.75,0.606,123,115.093,0.936,0.475
"HSLMDS [k=103] [kQuality=102] (NLDR)","HSLMDS [k=103] [kQuality=102] (NLDR)","HSLMDS (NLDR)",103,NA,0.71,0.42,1,NA,46.236,0.512,0.75,0.275,0.508,0.75,0.606,123,115.093,0.936,0.475
"HSLMDS [k=103] [kQuality=103] (NLDR)","HSLMDS [k=103] [kQuality=103] (NLDR)","HSLMDS (NLDR)",103,NA,0.71,0.42,1,NA,46.216,0.512,0.75,0.275,0.508,0.75,0.606,123,115.093,0.936,0.475
"HSLMDS [k=103] [kQuality=104] (NLDR)","HSLMDS [k=103] [kQuality=104] (NLDR)","HSLMDS (NLDR)",103,NA,0.71,0.42,1,NA,46.24,0.512,0.75,0.275,0.508,0.75,0.606,123,115.093,0.936,0.475
"HSLMDS [k=103] [kQuality=105] (NLDR)","HSLMDS [k=103] [kQuality=105] (NLDR)","HSLMDS (NLDR)",103,NA,0.71,0.42,1,NA,46.256,0.512,0.75,0.275,0.508,0.75,0.606,123,115.093,0.936,0.475
"HSLMDS [k=103] [kQuality=106] (NLDR)","HSLMDS [k=103] [kQuality=106] (NLDR)","HSLMDS (NLDR)",103,NA,0.71,0.42,1,NA,46.264,0.512,0.75,0.275,0.508,0.75,0.606,123,115.093,0.936,0.475
"HSLMDS [k=112] (rNLDR)","HSLMDS [k=112] (rNLDR)","HSLMDS (rNLDR)",112,NA,0.72,0.43,1,NA,3124.934,0.588,0.85,0.325,0.557,0.85,0.673,123,115.69,0.941,0.48
"HSLMDS [k=112] [kQuality=109] (NLDR)","HSLMDS [k=112] [kQuality=109] (NLDR)","HSLMDS (NLDR)",112,NA,0.69,0.38,1,NA,7.942,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=112] [kQuality=110] (NLDR)","HSLMDS [k=112] [kQuality=110] (NLDR)","HSLMDS (NLDR)",112,NA,0.69,0.38,1,NA,7.954,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=112] [kQuality=111] (NLDR)","HSLMDS [k=112] [kQuality=111] (NLDR)","HSLMDS (NLDR)",112,NA,0.69,0.38,1,NA,7.931,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=112] [kQuality=112] (NLDR)","HSLMDS [k=112] [kQuality=112] (NLDR)","HSLMDS (NLDR)",112,NA,0.69,0.38,1,NA,7.964,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=112] [kQuality=113] (NLDR)","HSLMDS [k=112] [kQuality=113] (NLDR)","HSLMDS (NLDR)",112,NA,0.69,0.38,1,NA,7.944,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=112] [kQuality=114] (NLDR)","HSLMDS [k=112] [kQuality=114] (NLDR)","HSLMDS (NLDR)",112,NA,0.69,0.38,1,NA,7.919,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=112] [kQuality=115] (NLDR)","HSLMDS [k=112] [kQuality=115] (NLDR)","HSLMDS (NLDR)",112,NA,0.69,0.38,1,NA,7.953,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=12] (rNLDR)","HSLMDS [k=12] (rNLDR)","HSLMDS (rNLDR)",12,NA,0.73,0.47,1,NA,619.178,0.637,0.725,0.55,0.617,0.725,0.667,123,114.94,0.934,0.474
"HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS [k=12] [kQuality=10] (NLDR)","HSLMDS (NLDR)",12,NA,0.76,0.53,1,NA,9.572,0.775,0.825,0.725,0.75,0.825,0.786,42,29.907,0.712,0.555
"HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS [k=12] [kQuality=11] (NLDR)","HSLMDS (NLDR)",12,NA,0.76,0.53,1,NA,9.546,0.775,0.825,0.725,0.75,0.825,0.786,42,29.907,0.712,0.555
"HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS [k=12] [kQuality=12] (NLDR)","HSLMDS (NLDR)",12,NA,0.76,0.53,1,NA,9.609,0.775,0.825,0.725,0.75,0.825,0.786,42,29.907,0.712,0.555
"HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS [k=12] [kQuality=13] (NLDR)","HSLMDS (NLDR)",12,NA,0.76,0.52,1,NA,10.18,0.775,0.65,0.9,0.867,0.65,0.743,20,14.586,0.729,0.654
"HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS [k=12] [kQuality=14] (NLDR)","HSLMDS (NLDR)",12,NA,0.76,0.52,1,NA,10.183,0.775,0.65,0.9,0.867,0.65,0.743,20,14.586,0.729,0.654
"HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS [k=12] [kQuality=15] (NLDR)","HSLMDS (NLDR)",12,NA,0.76,0.53,1,NA,9.58,0.775,0.825,0.725,0.75,0.825,0.786,42,29.907,0.712,0.555
"HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS [k=12] [kQuality=9] (NLDR)","HSLMDS (NLDR)",12,NA,0.77,0.54,1,NA,10.138,0.838,0.925,0.75,0.787,0.925,0.851,31,22.373,0.722,0.606
"HSLMDS [k=121] (rNLDR)","HSLMDS [k=121] (rNLDR)","HSLMDS (rNLDR)",121,NA,0.84,0.68,1,NA,851.04,0.887,0.95,0.825,0.844,0.95,0.894,59,48.131,0.816,0.595
"HSLMDS [k=121] [kQuality=118] (NLDR)","HSLMDS [k=121] [kQuality=118] (NLDR)","HSLMDS (NLDR)",121,NA,0.84,0.68,1,NA,10.091,0.9,0.925,0.875,0.881,0.925,0.902,56,45.586,0.814,0.604
"HSLMDS [k=121] [kQuality=119] (NLDR)","HSLMDS [k=121] [kQuality=119] (NLDR)","HSLMDS (NLDR)",121,NA,0.84,0.68,1,NA,10.208,0.887,0.925,0.85,0.86,0.925,0.892,56,45.593,0.814,0.604
"HSLMDS [k=121] [kQuality=120] (NLDR)","HSLMDS [k=121] [kQuality=120] (NLDR)","HSLMDS (NLDR)",121,NA,0.84,0.68,1,NA,8.31,0.887,0.925,0.85,0.86,0.925,0.892,56,45.593,0.814,0.604
"HSLMDS [k=121] [kQuality=121] (NLDR)","HSLMDS [k=121] [kQuality=121] (NLDR)","HSLMDS (NLDR)",121,NA,0.84,0.68,1,NA,8.235,0.887,0.925,0.85,0.86,0.925,0.892,56,45.593,0.814,0.604
"HSLMDS [k=121] [kQuality=122] (NLDR)","HSLMDS [k=121] [kQuality=122] (NLDR)","HSLMDS (NLDR)",121,NA,0.84,0.68,1,NA,10.177,0.887,0.925,0.85,0.86,0.925,0.892,56,45.593,0.814,0.604
"HSLMDS [k=121] [kQuality=123] (NLDR)","HSLMDS [k=121] [kQuality=123] (NLDR)","HSLMDS (NLDR)",121,NA,0.84,0.68,1,NA,11.476,0.887,0.925,0.85,0.86,0.925,0.892,56,45.593,0.814,0.604
"HSLMDS [k=121] [kQuality=124] (NLDR)","HSLMDS [k=121] [kQuality=124] (NLDR)","HSLMDS (NLDR)",121,NA,0.84,0.68,1,NA,11.46,0.887,0.925,0.85,0.86,0.925,0.892,56,45.593,0.814,0.604
"HSLMDS [k=130] (rNLDR)","HSLMDS [k=130] (rNLDR)","HSLMDS (rNLDR)",130,NA,0.83,0.66,1,NA,702.314,0.95,1,0.9,0.909,1,0.952,72,57.563,0.799,0.53
"HSLMDS [k=130] [kQuality=127] (NLDR)","HSLMDS [k=130] [kQuality=127] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,10.918,0.925,0.975,0.875,0.886,0.975,0.929,68,53.571,0.788,0.533
"HSLMDS [k=130] [kQuality=128] (NLDR)","HSLMDS [k=130] [kQuality=128] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,11.626,0.925,0.975,0.875,0.886,0.975,0.929,68,53.619,0.789,0.534
"HSLMDS [k=130] [kQuality=129] (NLDR)","HSLMDS [k=130] [kQuality=129] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,9.16,0.925,0.95,0.9,0.905,0.95,0.927,68,53.545,0.787,0.533
"HSLMDS [k=130] [kQuality=130] (NLDR)","HSLMDS [k=130] [kQuality=130] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,10.909,0.925,0.975,0.875,0.886,0.975,0.929,68,53.571,0.788,0.533
"HSLMDS [k=130] [kQuality=131] (NLDR)","HSLMDS [k=130] [kQuality=131] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,10.985,0.925,0.975,0.875,0.886,0.975,0.929,68,53.571,0.788,0.533
"HSLMDS [k=130] [kQuality=132] (NLDR)","HSLMDS [k=130] [kQuality=132] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,11.019,0.925,0.975,0.875,0.886,0.975,0.929,68,53.571,0.788,0.533
"HSLMDS [k=130] [kQuality=133] (NLDR)","HSLMDS [k=130] [kQuality=133] (NLDR)","HSLMDS (NLDR)",130,NA,0.83,0.66,1,NA,10.973,0.925,0.975,0.875,0.886,0.975,0.929,68,53.571,0.788,0.533
"HSLMDS [k=140] (rNLDR)","HSLMDS [k=140] (rNLDR)","HSLMDS (rNLDR)",140,NA,0.78,0.57,1,NA,1828.467,0.875,0.925,0.825,0.841,0.925,0.881,123,114.541,0.931,0.471
"HSLMDS [k=140] [kQuality=137] (NLDR)","HSLMDS [k=140] [kQuality=137] (NLDR)","HSLMDS (NLDR)",140,NA,0.79,0.57,1,NA,7.775,0.838,0.825,0.85,0.846,0.825,0.835,123,114.534,0.931,0.47
"HSLMDS [k=140] [kQuality=138] (NLDR)","HSLMDS [k=140] [kQuality=138] (NLDR)","HSLMDS (NLDR)",140,NA,0.79,0.57,1,NA,9.615,0.875,0.9,0.85,0.857,0.9,0.878,123,114.549,0.931,0.471
"HSLMDS [k=140] [kQuality=139] (NLDR)","HSLMDS [k=140] [kQuality=139] (NLDR)","HSLMDS (NLDR)",140,NA,0.79,0.57,1,NA,7.702,0.838,0.825,0.85,0.846,0.825,0.835,123,114.534,0.931,0.47
"HSLMDS [k=140] [kQuality=140] (NLDR)","HSLMDS [k=140] [kQuality=140] (NLDR)","HSLMDS (NLDR)",140,NA,0.79,0.57,1,NA,9.67,0.875,0.9,0.85,0.857,0.9,0.878,123,114.549,0.931,0.471
"HSLMDS [k=140] [kQuality=141] (NLDR)","HSLMDS [k=140] [kQuality=141] (NLDR)","HSLMDS (NLDR)",140,NA,0.78,0.57,1,NA,21.55,0.838,0.825,0.85,0.846,0.825,0.835,123,114.534,0.931,0.47
"HSLMDS [k=140] [kQuality=142] (NLDR)","HSLMDS [k=140] [kQuality=142] (NLDR)","HSLMDS (NLDR)",140,NA,0.75,0.5,1,NA,24.438,0.688,0.65,0.725,0.703,0.65,0.675,123,114.082,0.927,0.467
"HSLMDS [k=140] [kQuality=143] (NLDR)","HSLMDS [k=140] [kQuality=143] (NLDR)","HSLMDS (NLDR)",140,NA,0.74,0.47,1,NA,11.969,0.738,0.8,0.675,0.711,0.8,0.753,123,113.772,0.925,0.464
"HSLMDS [k=149] (rNLDR)","HSLMDS [k=149] (rNLDR)","HSLMDS (rNLDR)",149,NA,0.72,0.44,1,NA,617.756,0.562,0.525,0.6,0.568,0.525,0.545,123,112.937,0.918,0.458
"HSLMDS [k=149] [kQuality=146] (NLDR)","HSLMDS [k=149] [kQuality=146] (NLDR)","HSLMDS (NLDR)",149,NA,0.72,0.45,1,NA,12.127,0.575,0.55,0.6,0.579,0.55,0.564,123,112.937,0.918,0.458
"HSLMDS [k=149] [kQuality=147] (NLDR)","HSLMDS [k=149] [kQuality=147] (NLDR)","HSLMDS (NLDR)",149,NA,0.72,0.44,1,NA,11.161,0.55,0.5,0.6,0.556,0.5,0.526,123,112.937,0.918,0.458
"HSLMDS [k=149] [kQuality=148] (NLDR)","HSLMDS [k=149] [kQuality=148] (NLDR)","HSLMDS (NLDR)",149,NA,0.73,0.45,1,NA,5.131,0.575,0.575,0.575,0.575,0.575,0.575,123,113.377,0.922,0.461
"HSLMDS [k=149] [kQuality=149] (NLDR)","HSLMDS [k=149] [kQuality=149] (NLDR)","HSLMDS (NLDR)",149,NA,0.73,0.45,1,NA,5.126,0.575,0.575,0.575,0.575,0.575,0.575,123,113.377,0.922,0.461
"HSLMDS [k=149] [kQuality=150] (NLDR)","HSLMDS [k=149] [kQuality=150] (NLDR)","HSLMDS (NLDR)",149,NA,0.73,0.45,1,NA,5.139,0.575,0.575,0.575,0.575,0.575,0.575,123,113.377,0.922,0.461
"HSLMDS [k=149] [kQuality=151] (NLDR)","HSLMDS [k=149] [kQuality=151] (NLDR)","HSLMDS (NLDR)",149,NA,0.72,0.44,1,NA,11.204,0.55,0.5,0.6,0.556,0.5,0.526,123,112.937,0.918,0.458
"HSLMDS [k=149] [kQuality=152] (NLDR)","HSLMDS [k=149] [kQuality=152] (NLDR)","HSLMDS (NLDR)",149,NA,0.72,0.45,1,NA,12.145,0.575,0.55,0.6,0.579,0.55,0.564,123,112.937,0.918,0.458
"HSLMDS [k=158] (rNLDR)","HSLMDS [k=158] (rNLDR)","HSLMDS (rNLDR)",158,NA,0.74,0.49,1,NA,590.445,0.512,0.4,0.625,0.516,0.4,0.451,123,113.888,0.926,0.465
"HSLMDS [k=158] [kQuality=155] (NLDR)","HSLMDS [k=158] [kQuality=155] (NLDR)","HSLMDS (NLDR)",158,NA,0.73,0.45,1,NA,7.496,0.488,0.5,0.475,0.488,0.5,0.494,123,112.414,0.914,0.453
"HSLMDS [k=158] [kQuality=156] (NLDR)","HSLMDS [k=158] [kQuality=156] (NLDR)","HSLMDS (NLDR)",158,NA,0.73,0.45,1,NA,7.493,0.488,0.5,0.475,0.488,0.5,0.494,123,112.414,0.914,0.453
"HSLMDS [k=158] [kQuality=157] (NLDR)","HSLMDS [k=158] [kQuality=157] (NLDR)","HSLMDS (NLDR)",158,NA,0.73,0.45,1,NA,7.414,0.488,0.5,0.475,0.488,0.5,0.494,123,112.414,0.914,0.453
"HSLMDS [k=158] [kQuality=158] (NLDR)","HSLMDS [k=158] [kQuality=158] (NLDR)","HSLMDS (NLDR)",158,NA,0.73,0.45,1,NA,7.422,0.488,0.5,0.475,0.488,0.5,0.494,123,112.414,0.914,0.453
"HSLMDS [k=158] [kQuality=159] (NLDR)","HSLMDS [k=158] [kQuality=159] (NLDR)","HSLMDS (NLDR)",158,NA,0.73,0.45,1,NA,7.48,0.488,0.5,0.475,0.488,0.5,0.494,123,112.414,0.914,0.453
"HSLMDS [k=158] [kQuality=160] (NLDR)","HSLMDS [k=158] [kQuality=160] (NLDR)","HSLMDS (NLDR)",158,NA,0.74,0.49,1,NA,11.314,0.512,0.4,0.625,0.516,0.4,0.451,123,113.888,0.926,0.465
"HSLMDS [k=158] [kQuality=161] (NLDR)","HSLMDS [k=158] [kQuality=161] (NLDR)","HSLMDS (NLDR)",158,NA,0.74,0.49,1,NA,11.215,0.512,0.4,0.625,0.516,0.4,0.451,123,113.888,0.926,0.465
"HSLMDS [k=167] (rNLDR)","HSLMDS [k=167] (rNLDR)","HSLMDS (rNLDR)",167,NA,0.8,0.59,1,NA,713.961,0.912,0.9,0.925,0.923,0.9,0.911,123,112.795,0.917,0.456
"HSLMDS [k=167] [kQuality=164] (NLDR)","HSLMDS [k=167] [kQuality=164] (NLDR)","HSLMDS (NLDR)",167,NA,0.8,0.59,1,NA,5.692,0.912,0.9,0.925,0.923,0.9,0.911,123,112.769,0.917,0.456
"HSLMDS [k=167] [kQuality=165] (NLDR)","HSLMDS [k=167] [kQuality=165] (NLDR)","HSLMDS (NLDR)",167,NA,0.8,0.59,1,NA,11.783,0.912,0.9,0.925,0.923,0.9,0.911,123,112.769,0.917,0.456
"HSLMDS [k=167] [kQuality=166] (NLDR)","HSLMDS [k=167] [kQuality=166] (NLDR)","HSLMDS (NLDR)",167,NA,0.8,0.59,1,NA,5.728,0.912,0.9,0.925,0.923,0.9,0.911,123,112.769,0.917,0.456
"HSLMDS [k=167] [kQuality=167] (NLDR)","HSLMDS [k=167] [kQuality=167] (NLDR)","HSLMDS (NLDR)",167,NA,0.8,0.59,1,NA,5.765,0.912,0.9,0.925,0.923,0.9,0.911,123,112.791,0.917,0.456
"HSLMDS [k=167] [kQuality=168] (NLDR)","HSLMDS [k=167] [kQuality=168] (NLDR)","HSLMDS (NLDR)",167,NA,0.8,0.59,1,NA,28.187,0.912,0.9,0.925,0.923,0.9,0.911,123,112.795,0.917,0.456
"HSLMDS [k=167] [kQuality=169] (NLDR)","HSLMDS [k=167] [kQuality=169] (NLDR)","HSLMDS (NLDR)",167,NA,0.8,0.59,1,NA,5.783,0.912,0.9,0.925,0.923,0.9,0.911,123,112.791,0.917,0.456
"HSLMDS [k=167] [kQuality=170] (NLDR)","HSLMDS [k=167] [kQuality=170] (NLDR)","HSLMDS (NLDR)",167,NA,0.8,0.59,1,NA,11.827,0.912,0.9,0.925,0.923,0.9,0.911,123,112.769,0.917,0.456
"HSLMDS [k=176] (rNLDR)","HSLMDS [k=176] (rNLDR)","HSLMDS (rNLDR)",176,NA,0.83,0.65,1,NA,668.391,0.938,0.95,0.925,0.927,0.95,0.938,87,72.47,0.833,0.507
"HSLMDS [k=176] [kQuality=173] (NLDR)","HSLMDS [k=176] [kQuality=173] (NLDR)","HSLMDS (NLDR)",176,NA,0.8,0.6,1,NA,5.79,0.9,0.9,0.9,0.9,0.9,0.9,123,112,0.911,0.45
"HSLMDS [k=176] [kQuality=174] (NLDR)","HSLMDS [k=176] [kQuality=174] (NLDR)","HSLMDS (NLDR)",176,NA,0.8,0.6,1,NA,5.633,0.9,0.9,0.9,0.9,0.9,0.9,123,111.937,0.91,0.449
"HSLMDS [k=176] [kQuality=175] (NLDR)","HSLMDS [k=176] [kQuality=175] (NLDR)","HSLMDS (NLDR)",176,NA,0.8,0.6,1,NA,5.634,0.9,0.9,0.9,0.9,0.9,0.9,123,111.937,0.91,0.449
"HSLMDS [k=176] [kQuality=176] (NLDR)","HSLMDS [k=176] [kQuality=176] (NLDR)","HSLMDS (NLDR)",176,NA,0.8,0.6,1,NA,5.635,0.9,0.9,0.9,0.9,0.9,0.9,123,111.937,0.91,0.449
"HSLMDS [k=176] [kQuality=177] (NLDR)","HSLMDS [k=176] [kQuality=177] (NLDR)","HSLMDS (NLDR)",176,NA,0.8,0.6,1,NA,5.611,0.9,0.9,0.9,0.9,0.9,0.9,123,111.937,0.91,0.449
"HSLMDS [k=176] [kQuality=178] (NLDR)","HSLMDS [k=176] [kQuality=178] (NLDR)","HSLMDS (NLDR)",176,NA,0.8,0.6,1,NA,5.63,0.9,0.9,0.9,0.9,0.9,0.9,123,111.937,0.91,0.449
"HSLMDS [k=176] [kQuality=179] (NLDR)","HSLMDS [k=176] [kQuality=179] (NLDR)","HSLMDS (NLDR)",176,NA,0.8,0.6,1,NA,5.757,0.912,0.9,0.925,0.923,0.9,0.911,123,111.918,0.91,0.449
"HSLMDS [k=185] (rNLDR)","HSLMDS [k=185] (rNLDR)","HSLMDS (rNLDR)",185,NA,0.83,0.66,1,NA,678.639,0.938,0.95,0.925,0.927,0.95,0.938,72,56.631,0.787,0.517
"HSLMDS [k=185] [kQuality=182] (NLDR)","HSLMDS [k=185] [kQuality=182] (NLDR)","HSLMDS (NLDR)",185,NA,0.8,0.6,1,NA,23.889,0.912,0.95,0.875,0.884,0.95,0.916,112,97.34,0.869,0.45
"HSLMDS [k=185] [kQuality=183] (NLDR)","HSLMDS [k=185] [kQuality=183] (NLDR)","HSLMDS (NLDR)",185,NA,0.8,0.6,1,NA,23.943,0.912,0.95,0.875,0.884,0.95,0.916,112,97.34,0.869,0.45
"HSLMDS [k=185] [kQuality=184] (NLDR)","HSLMDS [k=185] [kQuality=184] (NLDR)","HSLMDS (NLDR)",185,NA,0.8,0.61,1,NA,9.517,0.925,0.95,0.9,0.905,0.95,0.927,112,97.433,0.87,0.45
"HSLMDS [k=185] [kQuality=185] (NLDR)","HSLMDS [k=185] [kQuality=185] (NLDR)","HSLMDS (NLDR)",185,NA,0.8,0.61,1,NA,9.613,0.925,0.95,0.9,0.905,0.95,0.927,112,97.433,0.87,0.45
"HSLMDS [k=185] [kQuality=186] (NLDR)","HSLMDS [k=185] [kQuality=186] (NLDR)","HSLMDS (NLDR)",185,NA,0.8,0.6,1,NA,23.968,0.912,0.95,0.875,0.884,0.95,0.916,112,97.34,0.869,0.45
"HSLMDS [k=185] [kQuality=187] (NLDR)","HSLMDS [k=185] [kQuality=187] (NLDR)","HSLMDS (NLDR)",185,NA,0.8,0.6,1,NA,23.987,0.912,0.95,0.875,0.884,0.95,0.916,112,97.34,0.869,0.45
"HSLMDS [k=185] [kQuality=188] (NLDR)","HSLMDS [k=185] [kQuality=188] (NLDR)","HSLMDS (NLDR)",185,NA,0.8,0.61,1,NA,9.519,0.925,0.95,0.9,0.905,0.95,0.927,112,97.433,0.87,0.45
"HSLMDS [k=194] (rNLDR)","HSLMDS [k=194] (rNLDR)","HSLMDS (rNLDR)",194,NA,0.83,0.66,1,NA,506.383,0.912,0.925,0.9,0.902,0.925,0.914,73,58.257,0.798,0.525
"HSLMDS [k=194] [kQuality=191] (NLDR)","HSLMDS [k=194] [kQuality=191] (NLDR)","HSLMDS (NLDR)",194,NA,0.81,0.61,1,NA,31.128,0.9,0.95,0.85,0.864,0.95,0.905,54,35.541,0.658,0.456
"HSLMDS [k=194] [kQuality=192] (NLDR)","HSLMDS [k=194] [kQuality=192] (NLDR)","HSLMDS (NLDR)",194,NA,0.81,0.61,1,NA,6.054,0.9,0.95,0.85,0.864,0.95,0.905,52,33.869,0.651,0.457
"HSLMDS [k=194] [kQuality=193] (NLDR)","HSLMDS [k=194] [kQuality=193] (NLDR)","HSLMDS (NLDR)",194,NA,0.81,0.61,1,NA,31.042,0.9,0.95,0.85,0.864,0.95,0.905,54,35.541,0.658,0.456
"HSLMDS [k=194] [kQuality=194] (NLDR)","HSLMDS [k=194] [kQuality=194] (NLDR)","HSLMDS (NLDR)",194,NA,0.81,0.61,1,NA,9.286,0.9,0.95,0.85,0.864,0.95,0.905,87,68.086,0.783,0.457
"HSLMDS [k=194] [kQuality=195] (NLDR)","HSLMDS [k=194] [kQuality=195] (NLDR)","HSLMDS (NLDR)",194,NA,0.81,0.61,1,NA,6.07,0.9,0.95,0.85,0.864,0.95,0.905,52,33.869,0.651,0.457
"HSLMDS [k=194] [kQuality=196] (NLDR)","HSLMDS [k=194] [kQuality=196] (NLDR)","HSLMDS (NLDR)",194,NA,0.81,0.61,1,NA,6.043,0.9,0.95,0.85,0.864,0.95,0.905,52,33.869,0.651,0.457
"HSLMDS [k=194] [kQuality=197] (NLDR)","HSLMDS [k=194] [kQuality=197] (NLDR)","HSLMDS (NLDR)",194,NA,0.81,0.61,1,NA,6.062,0.9,0.95,0.85,0.864,0.95,0.905,52,33.869,0.651,0.457
"HSLMDS [k=203] (rNLDR)","HSLMDS [k=203] (rNLDR)","HSLMDS (rNLDR)",203,NA,0.83,0.67,1,NA,526.697,0.912,0.925,0.9,0.902,0.925,0.914,77,63.205,0.821,0.532
"HSLMDS [k=203] [kQuality=200] (NLDR)","HSLMDS [k=203] [kQuality=200] (NLDR)","HSLMDS (NLDR)",203,NA,0.81,0.62,1,NA,7.364,0.9,0.975,0.825,0.848,0.975,0.907,88,71.101,0.808,0.478
"HSLMDS [k=203] [kQuality=201] (NLDR)","HSLMDS [k=203] [kQuality=201] (NLDR)","HSLMDS (NLDR)",203,NA,0.81,0.62,1,NA,5.088,0.9,0.975,0.825,0.848,0.975,0.907,80,62.187,0.777,0.478
"HSLMDS [k=203] [kQuality=202] (NLDR)","HSLMDS [k=203] [kQuality=202] (NLDR)","HSLMDS (NLDR)",203,NA,0.81,0.62,1,NA,7.279,0.9,0.975,0.825,0.848,0.975,0.907,88,71.101,0.808,0.478
"HSLMDS [k=203] [kQuality=203] (NLDR)","HSLMDS [k=203] [kQuality=203] (NLDR)","HSLMDS (NLDR)",203,NA,0.81,0.62,1,NA,7.377,0.9,0.975,0.825,0.848,0.975,0.907,88,71.101,0.808,0.478
"HSLMDS [k=203] [kQuality=204] (NLDR)","HSLMDS [k=203] [kQuality=204] (NLDR)","HSLMDS (NLDR)",203,NA,0.81,0.62,1,NA,5.062,0.9,0.975,0.825,0.848,0.975,0.907,88,71.049,0.807,0.478
"HSLMDS [k=203] [kQuality=205] (NLDR)","HSLMDS [k=203] [kQuality=205] (NLDR)","HSLMDS (NLDR)",203,NA,0.81,0.62,1,NA,5.843,0.9,0.975,0.825,0.848,0.975,0.907,88,71.078,0.808,0.478
"HSLMDS [k=203] [kQuality=206] (NLDR)","HSLMDS [k=203] [kQuality=206] (NLDR)","HSLMDS (NLDR)",203,NA,0.81,0.62,1,NA,7.376,0.9,0.975,0.825,0.848,0.975,0.907,88,71.101,0.808,0.478
"HSLMDS [k=21] (rNLDR)","HSLMDS [k=21] (rNLDR)","HSLMDS (rNLDR)",21,NA,0.76,0.52,1,NA,610.63,0.838,0.7,0.975,0.966,0.7,0.812,60,49.925,0.832,0.607
"HSLMDS [k=21] [kQuality=18] (NLDR)","HSLMDS [k=21] [kQuality=18] (NLDR)","HSLMDS (NLDR)",21,NA,0.74,0.48,1,NA,9.55,0.812,0.95,0.675,0.745,0.95,0.835,1,0.806,0.806,0.802
"HSLMDS [k=21] [kQuality=19] (NLDR)","HSLMDS [k=21] [kQuality=19] (NLDR)","HSLMDS (NLDR)",21,NA,0.74,0.48,1,NA,9.477,0.812,0.95,0.675,0.745,0.95,0.835,1,0.806,0.806,0.802
"HSLMDS [k=21] [kQuality=20] (NLDR)","HSLMDS [k=21] [kQuality=20] (NLDR)","HSLMDS (NLDR)",21,NA,0.74,0.48,1,NA,9.579,0.812,0.95,0.675,0.745,0.95,0.835,1,0.806,0.806,0.802
"HSLMDS [k=21] [kQuality=21] (NLDR)","HSLMDS [k=21] [kQuality=21] (NLDR)","HSLMDS (NLDR)",21,NA,0.74,0.48,1,NA,9.56,0.812,0.95,0.675,0.745,0.95,0.835,1,0.806,0.806,0.802
"HSLMDS [k=21] [kQuality=22] (NLDR)","HSLMDS [k=21] [kQuality=22] (NLDR)","HSLMDS (NLDR)",21,NA,0.74,0.48,1,NA,9.571,0.812,0.95,0.675,0.745,0.95,0.835,1,0.806,0.806,0.802
